count				MSE
1370				0.001383
1371				0.001381
1372				0.001378
1373				0.001376
1374				0.001374
1375				0.001372
1376				0.001370
1377				0.001367
1378				0.001365
1379				0.001363
1380				0.001361
1381				0.001359
1382				0.001357
1383				0.001354
1384				0.001352
1385				0.001350
1386				0.001348
1387				0.001346
1388				0.001344
1389				0.001342
1390				0.001340
1391				0.001337
1392				0.001335
1393				0.001333
1394				0.001331
1395				0.001329
1396				0.001327
1397				0.001325
1398				0.001323
1399				0.001321
1400				0.001319
1401				0.001317
1402				0.001315
1403				0.001313
1404				0.001311
1405				0.001309
1406				0.001307
1407				0.001305
1408				0.001303
1409				0.001301
1410				0.001299
1411				0.001297
1412				0.001295
1413				0.001293
1414				0.001291
1415				0.001289
1416				0.001287
1417				0.001285
1418				0.001283
1419				0.001281
1420				0.001279
1421				0.001277
1422				0.001275
1423				0.001273
1424				0.001271
1425				0.001269
1426				0.001267
1427				0.001265
1428				0.001263
1429				0.001262
1430				0.001260
1431				0.001258
1432				0.001256
1433				0.001254
1434				0.001252
1435				0.001250
1436				0.001248
1437				0.001247
1438				0.001245
1439				0.001243
1440				0.001241
1441				0.001239
1442				0.001237
1443				0.001235
1444				0.001234
1445				0.001232
1446				0.001230
1447				0.001228
1448				0.001226
1449				0.001225
1450				0.001223
1451				0.001221
1452				0.001219
1453				0.001217
1454				0.001216
1455				0.001214
1456				0.001212
1457				0.001210
1458				0.001209
1459				0.001207
1460				0.001205
1461				0.001203
1462				0.001202
1463				0.001200
1464				0.001198
1465				0.001196
1466				0.001195
1467				0.001193
1468				0.001191
1469				0.001189
1470				0.001188
1471				0.001186
1472				0.001184
1473				0.001183
1474				0.001181
1475				0.001179
1476				0.001178
1477				0.001176
1478				0.001174
1479				0.001173
1480				0.001171
1481				0.001169
1482				0.001168
1483				0.001166
1484				0.001164
1485				0.001163
1486				0.001161
1487				0.001159
1488				0.001158
1489				0.001156
1490				0.001154
1491				0.001153
1492				0.001151
1493				0.001150
1494				0.001148
1495				0.001146
1496				0.001145
1497				0.001143
1498				0.001142
1499				0.001140
1500				0.001138
1501				0.001137
1502				0.001135
1503				0.001134
1504				0.001132
1505				0.001131
1506				0.001129
1507				0.001128
1508				0.001126
1509				0.001124
1510				0.001123
1511				0.001121
1512				0.001120
1513				0.001118
1514				0.001117
1515				0.001115
1516				0.001114
1517				0.001112
1518				0.001111
1519				0.001109
1520				0.001108
1521				0.001106
1522				0.001105
1523				0.001103
1524				0.001102
1525				0.001100
1526				0.001099
1527				0.001097
1528				0.001096
1529				0.001094
1530				0.001093
1531				0.001091
1532				0.001090
1533				0.001089
1534				0.001087
1535				0.001086
1536				0.001084
1537				0.001083
1538				0.001081
1539				0.001080
1540				0.001078
1541				0.001077
1542				0.001076
1543				0.001074
1544				0.001073
1545				0.001071
1546				0.001070
1547				0.001069
1548				0.001067
1549				0.001066
1550				0.001064
1551				0.001063
1552				0.001062
1553				0.001060
1554				0.001059
1555				0.001057
1556				0.001056
1557				0.001055
1558				0.001053
1559				0.001052
1560				0.001051
1561				0.001049
1562				0.001048
1563				0.001047
1564				0.001045
1565				0.001044
1566				0.001043
1567				0.001041
1568				0.001040
1569				0.001039
1570				0.001037
1571				0.001036
1572				0.001035
1573				0.001033
1574				0.001032
1575				0.001031
1576				0.001029
1577				0.001028
1578				0.001027
1579				0.001026
1580				0.001024
1581				0.001023
1582				0.001022
1583				0.001020
1584				0.001019
1585				0.001018
1586				0.001017
1587				0.001015
1588				0.001014
1589				0.001013
1590				0.001012
1591				0.001010
1592				0.001009
1593				0.001008
1594				0.001007
1595				0.001005
1596				0.001004
1597				0.001003
1598				0.001002
1599				0.001000
1600				0.000999
